Lunar Terrain Model
Lat: 31.5927 deg;Lng: 29.1079 deg;Elev: -2547 m;Azimuth: -87.00 deg
Distance in meters;Elevation in meters
-7894.320000;-486.013216
-7924.800000;-499.374328
-7955.280000;-512.719720
-7985.760000;-526.233298
-8016.240000;-539.757326
-8046.720000;-553.281230
-8077.200000;-566.805010
-8107.680000;-580.328665
-8138.160000;-593.852196
-8168.640000;-607.375602
-8199.120000;-620.898884
-8229.600000;-634.422041
-8260.080000;-648.217215
-8290.560000;-662.169768
-8321.040000;-675.990766
-8351.520000;-689.513425
-8382.000000;-703.035960
-8412.480000;-716.138001
-8442.960000;-729.230640
-8473.440000;-741.348023
-8503.920000;-752.916675
-8534.400000;-764.053691
-8564.880000;-774.362914
-8595.360000;-784.703058
-8625.840000;-796.001074
-8656.320000;-807.318284
-8686.800000;-818.938084
-8717.280000;-830.715705
-8747.760000;-842.362187
-8778.240000;-853.740896
-8808.720000;-865.129827
-8839.200000;-876.143737
-8869.680000;-887.142018
-8900.160000;-897.239194
-8930.640000;-906.936409
-8961.120000;-916.155693
-8991.600000;-924.555898
-9022.080000;-932.943483
-9052.560000;-940.951006
-9083.040000;-948.973858
-9113.520000;-956.709670
-9144.000000;-964.333507
-9174.480000;-971.674861
-9204.960000;-978.548570
-9235.440000;-985.415112
-9265.920000;-991.582481
-9296.400000;-997.796025
-9326.880000;-1003.899492
-9357.360000;-1010.015352
-9387.840000;-1017.127857
-9418.320000;-1025.710163
-9448.800000;-1034.466839
-9479.280000;-1044.976574
-9509.760000;-1055.362756
-9540.240000;-1062.407487
-9570.720000;-1068.260461
-9601.200000;-1073.753606
-9631.680000;-1078.785309
-9662.160000;-1083.865313
-9692.640000;-1089.495834
-9723.120000;-1095.172386
-9753.600000;-1101.056730
-9784.080000;-1107.079559
-9814.560000;-1111.666132
-9845.040000;-1114.227818
-9875.520000;-1116.702184
-9906.000000;-1118.616845
-9936.480000;-1120.439085
-9966.960000;-1124.540160
-9997.440000;-1129.305933
-10027.920000;-1134.310060
-10058.400000;-1139.634325
-10088.880000;-1144.937860
-10119.360000;-1149.984909
-10149.840000;-1155.031797
-10180.320000;-1159.311894
-10210.800000;-1163.405223
-10241.280000;-1165.885643
-10271.760000;-1166.466509
-10302.240000;-1166.840009
-10332.720000;-1166.196231
-10363.200000;-1165.567619
-10393.680000;-1159.728645
-10424.160000;-1152.685201
-10454.640000;-1144.447954
-10485.120000;-1134.911341
-10515.600000;-1125.295814
-10546.080000;-1115.313067
-10576.560000;-1105.299544
-10607.040000;-1095.611036
-10637.520000;-1085.962393
-10668.000000;-1076.289896
-10698.480000;-1066.583053
-10728.960000;-1056.925576
-10759.440000;-1047.626124
-10789.920000;-1038.311246
-10820.400000;-1028.980946
-10850.880000;-1019.635231
-10881.360000;-1010.497351
-10911.840000;-1001.550503
-10942.320000;-992.604332
-10972.800000;-983.719410
-11003.280000;-974.834352
-11033.760000;-966.228699
-11064.240000;-957.652328
-11094.720000;-949.291620
-11125.200000;-941.114184
-11155.680000;-932.921379
-11186.160000;-924.713212
-11216.640000;-916.489687
-11247.120000;-908.391972
-11277.600000;-900.311920
-11308.080000;-892.470605
-11338.560000;-884.819996
-11369.040000;-877.224001
-11399.520000;-869.803216
-11430.000000;-862.367101
-11460.480000;-855.107734
-11490.960000;-847.868515
-11521.440000;-840.629178
-11551.920000;-833.389721
-11582.400000;-826.256232
-11612.880000;-819.446232
-11643.360000;-812.636114
-11673.840000;-805.976185
-11704.320000;-799.314704
-11734.800000;-792.550098
-11765.280000;-785.721855
-11795.760000;-779.042749
-11826.240000;-772.767480
-11856.720000;-766.476939
-11887.200000;-760.367150
-11917.680000;-754.284425
-11948.160000;-748.070593
-11978.640000;-741.754259
-12009.120000;-735.620952
-12039.600000;-729.992819
-12070.080000;-724.379711
-12100.560000;-718.425536
-12131.040000;-712.455325
-12161.520000;-706.755350
-12192.000000;-701.214616
-12222.480000;-695.673768
-12252.960000;-690.132807
-12283.440000;-684.591734
-12313.920000;-679.050547
-12344.400000;-673.502012
-12374.880000;-667.943027
-12405.360000;-662.383933
-12435.840000;-656.962419
-12466.320000;-651.832814
-12496.800000;-646.703100
-12527.280000;-641.621341
-12557.760000;-636.554832
-12588.240000;-631.704962
-12618.720000;-626.946035
-12649.200000;-622.198547
-12679.680000;-617.497891
-12710.160000;-612.798231
-12740.640000;-608.198590
-12771.120000;-603.613899
-12801.600000;-598.964599
-12832.080000;-594.280917
-12862.560000;-589.750744
-12893.040000;-585.496550
-12923.520000;-581.246687
-12954.000000;-577.146309
-12984.480000;-573.060854
-13014.960000;-568.871581
-13045.440000;-564.634315
-13075.920000;-560.235314
-13106.400000;-555.568102
-13136.880000;-550.869978
-13167.360000;-545.566052
-13197.840000;-540.246998
-13228.320000;-533.061054
-13258.800000;-525.172383
-13289.280000;-516.357067
-13319.760000;-506.102696
-13350.240000;-495.441101
-13380.720000;-479.170408
-13411.200000;-462.899587
-13441.680000;-445.992159
-13472.160000;-428.861640
-13502.640000;-412.735888
-13533.120000;-398.014268
